,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270
2020-04-30,252.0,455.0,1702.0,423.0,1192.0,900.0,5715.0,12779.0,1267.0,1455.0,150.0,2072.0,11283.0,117.0,710.0,34132.0,124.0,243.0,498.0,,119.0,934.0,20327.0,,8057.0,78785.0,1411.0,323.0,557.0,1288.0,617.0,148.0,3108.0,6558.0,645.0,599.0,1228.0,1557.0,1335.0,106.0,236.0,,2800.0,48228.0,,178.0,120400.0,188.0,131.0,577.0,,313.0,,536.0,1656.0,8437.0,1391.0,73791.0,1346.0,13386.0,8233.0,71252.0,,2368.0,356.0,819.0,129.0,9059.0,249.0,1389.0,437.0,348.0,150.0,,563.0,3134.0,,4087.0,129.0,339.0,306.0,11423.0,1114.0,203.0,928.0,119.0,1241.0,,435.0,307.0,627.0,364.0,3425.0,527.0,102.0,10037.0,1023.0,3025.0,1470.0,1243.0,3569.0,10286.0,,,2953.0,315.0,1292.0,,1188.0,484.0,230.0,,2073.0,108947.0,136.0,,1005.0,22600.0,,167.0,2665.0,,,294.0,44040.0,120720.0,1103.0,2329.0,726.0,412.0,1096.0,142.0,222.0,,948425.0,,455.0,1702.0,423.0,1192.0,900.0,5715.0,12779.0,1267.0,1455.0,150.0,2072.0,11283.0,117.0,710.0,34132.0,124.0,243.0,498.0,,119.0,934.0,20327.0,,8057.0,78785.0,1411.0,323.0,557.0,1288.0,617.0,148.0,3108.0,6558.0,645.0,599.0,1228.0,1557.0,1335.0,106.0,236.0,,2800.0,48228.0,,178.0,120400.0,188.0,131.0,577.0,,313.0,,536.0,1656.0,8437.0,1391.0,73791.0,1346.0,13386.0,8233.0,71252.0,,2368.0,356.0,819.0,129.0,9059.0,249.0,1389.0,437.0,348.0,150.0,,563.0,3134.0,,4087.0,129.0,339.0,306.0,11423.0,1114.0,203.0,928.0,119.0,1241.0,,435.0,307.0,627.0,364.0,3425.0,527.0,102.0,10037.0,1023.0,3025.0,1470.0,1243.0,3569.0,10286.0,,,2953.0,315.0,1292.0,,1188.0,484.0,230.0,,2073.0,108947.0,136.0,,1005.0,22600.0,,167.0,2665.0,,,294.0,44040.0,120720.0,1103.0,2329.0,726.0,412.0,1096.0,142.0,222.0,,948425.0,
2020-05-01,260.0,470.0,1779.0,468.0,1256.0,929.0,5742.0,12907.0,1325.0,1500.0,160.0,2386.0,11576.0,132.0,727.0,35935.0,124.0,266.0,506.0,,119.0,934.0,21424.0,,8580.0,78845.0,1439.0,338.0,574.0,1348.0,681.0,296.0,3314.0,6741.0,645.0,642.0,1301.0,1558.0,1381.0,119.0,249.0,,3000.0,49476.0,,184.0,123500.0,212.0,131.0,1374.0,,329.0,,581.0,1670.0,9068.0,1522.0,75103.0,1375.0,13386.0,8561.0,75945.0,,2460.0,362.0,866.0,144.0,9072.0,271.0,1539.0,462.0,348.0,150.0,,589.0,3213.0,,4171.0,135.0,351.0,310.0,11423.0,1182.0,214.0,984.0,125.0,1252.0,,452.0,319.0,738.0,495.0,4315.0,576.0,113.0,10405.0,1043.0,3236.0,1519.0,1372.0,4017.0,11619.0,104.0,,3163.0,334.0,1343.0,,1244.0,524.0,233.0,,2073.0,112050.0,154.0,,1005.0,23400.0,,167.0,2684.0,,,305.0,48886.0,153947.0,1238.0,2429.0,728.0,417.0,1133.0,142.0,219.0,,1013886.0,,470.0,1779.0,468.0,1256.0,929.0,5742.0,12907.0,1325.0,1500.0,160.0,2386.0,11576.0,132.0,727.0,35935.0,124.0,266.0,506.0,,119.0,934.0,21424.0,,8580.0,78845.0,1439.0,338.0,574.0,1348.0,681.0,296.0,3314.0,6741.0,645.0,642.0,1301.0,1558.0,1381.0,119.0,249.0,,3000.0,49476.0,,184.0,123500.0,212.0,131.0,1374.0,,329.0,,581.0,1670.0,9068.0,1522.0,75103.0,1375.0,13386.0,8561.0,75945.0,,2460.0,362.0,866.0,144.0,9072.0,271.0,1539.0,462.0,348.0,150.0,,589.0,3213.0,,4171.0,135.0,351.0,310.0,11423.0,1182.0,214.0,984.0,125.0,1252.0,,452.0,319.0,738.0,495.0,4315.0,576.0,113.0,10405.0,1043.0,3236.0,1519.0,1372.0,4017.0,11619.0,104.0,,3163.0,334.0,1343.0,,1244.0,524.0,233.0,,2073.0,112050.0,154.0,,1005.0,23400.0,,167.0,2684.0,,,305.0,48886.0,153947.0,1238.0,2429.0,728.0,417.0,1133.0,142.0,219.0,,1013886.0,
2020-05-02,310.0,488.0,1821.0,468.0,1292.0,977.0,5775.0,13110.0,1365.0,1555.0,174.0,2918.0,11892.0,134.0,755.0,38039.0,124.0,276.0,517.0,,120.0,934.0,22764.0,,9018.0,78897.0,1551.0,355.0,597.0,1421.0,714.0,296.0,3372.0,6924.0,645.0,672.0,1387.0,1913.0,1460.0,124.0,253.0,,3000.0,50212.0,,207.0,126900.0,212.0,131.0,1374.0,,342.0,112.0,609.0,1689.0,10007.0,1591.0,76318.0,1414.0,13386.0,9156.0,78249.0,,2975.0,364.0,922.0,150.0,9123.0,271.0,1602.0,504.0,348.0,192.0,,594.0,3213.0,,4210.0,196.0,383.0,312.0,12377.0,1272.0,233.0,1083.0,138.0,1263.0,,478.0,351.0,807.0,495.0,4715.0,622.0,115.0,11129.0,1084.0,3491.0,1647.0,1436.0,4328.0,13220.0,109.0,,3555.0,356.0,1343.0,,1268.0,558.0,233.0,,2382.0,112050.0,162.0,,1005.0,23900.0,,167.0,2719.0,,,316.0,53808.0,164015.0,1413.0,2543.0,761.0,435.0,1212.0,148.0,219.0,,1052415.0,,488.0,1821.0,468.0,1292.0,977.0,5775.0,13110.0,1365.0,1555.0,174.0,2918.0,11892.0,134.0,755.0,38039.0,124.0,276.0,517.0,,120.0,934.0,22764.0,,9018.0,78897.0,1551.0,355.0,597.0,1421.0,714.0,296.0,3372.0,6924.0,645.0,672.0,1387.0,1913.0,1460.0,124.0,253.0,,3000.0,50212.0,,207.0,126900.0,212.0,131.0,1374.0,,342.0,112.0,609.0,1689.0,10007.0,1591.0,76318.0,1414.0,13386.0,9156.0,78249.0,,2975.0,364.0,922.0,150.0,9123.0,271.0,1602.0,504.0,348.0,192.0,,594.0,3213.0,,4210.0,196.0,383.0,312.0,12377.0,1272.0,233.0,1083.0,138.0,1263.0,,478.0,351.0,807.0,495.0,4715.0,622.0,115.0,11129.0,1084.0,3491.0,1647.0,1436.0,4328.0,13220.0,109.0,,3555.0,356.0,1343.0,,1268.0,558.0,233.0,,2382.0,112050.0,162.0,,1005.0,23900.0,,167.0,2719.0,,,316.0,53808.0,164015.0,1413.0,2543.0,761.0,435.0,1212.0,148.0,219.0,,1052415.0,
2020-05-03,331.0,519.0,1872.0,472.0,1320.0,1010.0,5814.0,13180.0,1411.0,1568.0,177.0,3117.0,12211.0,159.0,779.0,40937.0,126.0,287.0,535.0,,120.0,953.0,23814.0,,9572.0,78910.0,1666.0,372.0,622.0,1463.0,765.0,296.0,3461.0,7084.0,645.0,686.0,1481.0,2132.0,1522.0,141.0,256.0,,3000.0,50663.0,,207.0,129000.0,229.0,132.0,1374.0,,405.0,116.0,625.0,1706.0,10819.0,1665.0,77350.0,1473.0,13386.0,9593.0,79914.0,,3205.0,367.0,985.0,152.0,9183.0,336.0,1703.0,527.0,348.0,197.0,,632.0,3318.0,,4326.0,206.0,379.0,314.0,12377.0,1334.0,245.0,1256.0,138.0,1266.0,,507.0,351.0,852.0,750.0,4817.0,641.0,119.0,12434.0,1124.0,3762.0,1671.0,1534.0,4547.0,15013.0,120.0,,3765.0,368.0,1426.0,,1347.0,608.0,239.0,,2549.0,117248.0,172.0,,1005.0,24200.0,,167.0,2732.0,,,323.0,58259.0,175382.0,1498.0,2664.0,764.0,440.0,1271.0,148.0,219.0,,1093137.0,,519.0,1872.0,472.0,1320.0,1010.0,5814.0,13180.0,1411.0,1568.0,177.0,3117.0,12211.0,159.0,779.0,40937.0,126.0,287.0,535.0,,120.0,953.0,23814.0,,9572.0,78910.0,1666.0,372.0,622.0,1463.0,765.0,296.0,3461.0,7084.0,645.0,686.0,1481.0,2132.0,1522.0,141.0,256.0,,3000.0,50663.0,,207.0,129000.0,229.0,132.0,1374.0,,405.0,116.0,625.0,1706.0,10819.0,1665.0,77350.0,1473.0,13386.0,9593.0,79914.0,,3205.0,367.0,985.0,152.0,9183.0,336.0,1703.0,527.0,348.0,197.0,,632.0,3318.0,,4326.0,206.0,379.0,314.0,12377.0,1334.0,245.0,1256.0,138.0,1266.0,,507.0,351.0,852.0,750.0,4817.0,641.0,119.0,12434.0,1124.0,3762.0,1671.0,1534.0,4547.0,15013.0,120.0,,3765.0,368.0,1426.0,,1347.0,608.0,239.0,,2549.0,117248.0,172.0,,1005.0,24200.0,,167.0,2732.0,,,323.0,58259.0,175382.0,1498.0,2664.0,764.0,440.0,1271.0,148.0,219.0,,1093137.0,
2020-05-04,345.0,531.0,1936.0,493.0,1354.0,1035.0,5849.0,13228.0,1441.0,1718.0,1063.0,3196.0,12309.0,166.0,825.0,42991.0,128.0,308.0,540.0,,120.0,953.0,24921.0,,10041.0,79016.0,1722.0,386.0,653.0,1489.0,827.0,296.0,3587.0,7183.0,645.0,686.0,1606.0,3300.0,1562.0,154.0,259.0,,3000.0,50885.0,,223.0,130600.0,229.0,132.0,1374.0,,405.0,118.0,629.0,1717.0,11775.0,1876.0,78422.0,1490.0,13386.0,9749.0,81654.0,,3981.0,367.0,1084.0,167.0,9217.0,381.0,1776.0,564.0,348.0,200.0,,635.0,3379.0,,4413.0,213.0,392.0,315.0,13447.0,1382.0,249.0,1438.0,138.0,1276.0,,518.0,400.0,945.0,750.0,5114.0,641.0,126.0,13550.0,1214.0,3945.0,1689.0,1664.0,4869.0,16639.0,124.0,,4134.0,372.0,1551.0,,1408.0,619.0,241.0,,2549.0,118902.0,184.0,,1005.0,24500.0,,167.0,2739.0,,,328.0,63151.0,180152.0,1548.0,2763.0,769.0,442.0,1319.0,158.0,219.0,,1125236.0,,531.0,1936.0,493.0,1354.0,1035.0,5849.0,13228.0,1441.0,1718.0,1063.0,3196.0,12309.0,166.0,825.0,42991.0,128.0,308.0,540.0,,120.0,953.0,24921.0,,10041.0,79016.0,1722.0,386.0,653.0,1489.0,827.0,296.0,3587.0,7183.0,645.0,686.0,1606.0,3300.0,1562.0,154.0,259.0,,3000.0,50885.0,,223.0,130600.0,229.0,132.0,1374.0,,405.0,118.0,629.0,1717.0,11775.0,1876.0,78422.0,1490.0,13386.0,9749.0,81654.0,,3981.0,367.0,1084.0,167.0,9217.0,381.0,1776.0,564.0,348.0,200.0,,635.0,3379.0,,4413.0,213.0,392.0,315.0,13447.0,1382.0,249.0,1438.0,138.0,1276.0,,518.0,400.0,945.0,750.0,5114.0,641.0,126.0,13550.0,1214.0,3945.0,1689.0,1664.0,4869.0,16639.0,124.0,,4134.0,372.0,1551.0,,1408.0,619.0,241.0,,2549.0,118902.0,184.0,,1005.0,24500.0,,167.0,2739.0,,,328.0,63151.0,180152.0,1548.0,2763.0,769.0,442.0,1319.0,158.0,219.0,,1125236.0,
2020-05-05,397.0,543.0,1998.0,499.0,1442.0,1071.0,5887.0,13316.0,1480.0,1744.0,1209.0,3259.0,12378.0,174.0,855.0,45815.0,130.0,321.0,545.0,,120.0,953.0,26030.0,,10415.0,79126.0,1807.0,399.0,693.0,1522.0,876.0,296.0,3807.0,7284.0,645.0,713.0,1771.0,3433.0,1632.0,180.0,259.0,,3500.0,51476.0,,223.0,132700.0,294.0,133.0,1374.0,,450.0,122.0,630.0,1723.0,12847.0,1954.0,79379.0,1544.0,13386.0,10064.0,82879.0,,4156.0,370.0,1173.0,173.0,9283.0,403.0,1947.0,575.0,348.0,200.0,,638.0,3405.0,,4484.0,223.0,399.0,316.0,13447.0,1423.0,253.0,1653.0,138.0,1302.0,,534.0,417.0,992.0,816.0,5635.0,641.0,130.0,14427.0,1315.0,4095.0,1712.0,1810.0,5269.0,18095.0,128.0,,4476.0,415.0,1574.0,,1457.0,643.0,241.0,,2746.0,121343.0,194.0,,4074.0,25200.0,,167.0,2740.0,,,406.0,68166.0,187180.0,1619.0,2966.0,777.0,447.0,1405.0,158.0,219.0,102.0,1162724.0,,543.0,1998.0,499.0,1442.0,1071.0,5887.0,13316.0,1480.0,1744.0,1209.0,3259.0,12378.0,174.0,855.0,45815.0,130.0,321.0,545.0,,120.0,953.0,26030.0,,10415.0,79126.0,1807.0,399.0,693.0,1522.0,876.0,296.0,3807.0,7284.0,645.0,713.0,1771.0,3433.0,1632.0,180.0,259.0,,3500.0,51476.0,,223.0,132700.0,294.0,133.0,1374.0,,450.0,122.0,630.0,1723.0,12847.0,1954.0,79379.0,1544.0,13386.0,10064.0,82879.0,,4156.0,370.0,1173.0,173.0,9283.0,403.0,1947.0,575.0,348.0,200.0,,638.0,3405.0,,4484.0,223.0,399.0,316.0,13447.0,1423.0,253.0,1653.0,138.0,1302.0,,534.0,417.0,992.0,816.0,5635.0,641.0,130.0,14427.0,1315.0,4095.0,1712.0,1810.0,5269.0,18095.0,128.0,,4476.0,415.0,1574.0,,1457.0,643.0,241.0,,2746.0,121343.0,194.0,,4074.0,25200.0,,167.0,2740.0,,,406.0,68166.0,187180.0,1619.0,2966.0,777.0,447.0,1405.0,158.0,219.0,102.0,1162724.0,
2020-05-06,421.0,570.0,2067.0,514.0,1472.0,1111.0,5975.0,13462.0,1508.0,1762.0,1403.0,3771.0,12441.0,187.0,911.0,48221.0,131.0,342.0,548.0,,120.0,953.0,27006.0,,10710.0,79204.0,2013.0,413.0,701.0,1560.0,954.0,296.0,4006.0,7492.0,645.0,745.0,1905.0,3433.0,1730.0,205.0,261.0,,3500.0,52842.0,,240.0,135100.0,294.0,133.0,1374.0,,498.0,122.0,709.0,1733.0,14142.0,2197.0,80475.0,1571.0,13386.0,10465.0,85231.0,,4496.0,375.0,1279.0,182.0,9333.0,490.0,2032.0,600.0,348.0,206.0,,678.0,3412.0,101.0,4567.0,228.0,403.0,319.0,16810.0,1544.0,253.0,1838.0,139.0,1316.0,,543.0,481.0,1013.0,858.0,5801.0,823.0,135.0,15413.0,1408.0,4280.0,1743.0,1924.0,5454.0,19865.0,129.0,,5431.0,470.0,1723.0,,1519.0,741.0,244.0,,2746.0,123486.0,213.0,,4074.0,25400.0,,167.0,2747.0,,103.0,482.0,73285.0,189791.0,1875.0,3153.0,793.0,468.0,1501.0,158.0,232.0,127.0,1198832.0,,570.0,2067.0,514.0,1472.0,1111.0,5975.0,13462.0,1508.0,1762.0,1403.0,3771.0,12441.0,187.0,911.0,48221.0,131.0,342.0,548.0,,120.0,953.0,27006.0,,10710.0,79204.0,2013.0,413.0,701.0,1560.0,954.0,296.0,4006.0,7492.0,645.0,745.0,1905.0,3433.0,1730.0,205.0,261.0,,3500.0,52842.0,,240.0,135100.0,294.0,133.0,1374.0,,498.0,122.0,709.0,1733.0,14142.0,2197.0,80475.0,1571.0,13386.0,10465.0,85231.0,,4496.0,375.0,1279.0,182.0,9333.0,490.0,2032.0,600.0,348.0,206.0,,678.0,3412.0,101.0,4567.0,228.0,403.0,319.0,16810.0,1544.0,253.0,1838.0,139.0,1316.0,,543.0,481.0,1013.0,858.0,5801.0,823.0,135.0,15413.0,1408.0,4280.0,1743.0,1924.0,5454.0,19865.0,129.0,,5431.0,470.0,1723.0,,1519.0,741.0,244.0,,2746.0,123486.0,213.0,,4074.0,25400.0,,167.0,2747.0,,103.0,482.0,73285.0,189791.0,1875.0,3153.0,793.0,468.0,1501.0,158.0,232.0,127.0,1198832.0,
2020-05-07,458.0,595.0,2197.0,521.0,1524.0,1135.0,6031.0,13639.0,1536.0,1860.0,1403.0,4388.0,12731.0,198.0,928.0,51370.0,131.0,360.0,555.0,,120.0,1000.0,28184.0,,11189.0,79268.0,2148.0,428.0,721.0,1601.0,1001.0,296.0,4205.0,7689.0,645.0,755.0,1960.0,3433.0,1815.0,219.0,264.0,,3500.0,54079.0,,269.0,139900.0,294.0,136.0,1374.0,,597.0,132.0,759.0,1750.0,15331.0,2317.0,81587.0,1602.0,17110.0,10637.0,93245.0,,4496.0,377.0,1408.0,190.0,9419.0,490.0,2219.0,614.0,464.0,206.0,,718.0,3452.0,101.0,4702.0,261.0,407.0,320.0,17781.0,1658.0,261.0,2017.0,146.0,1332.0,,561.0,534.0,1057.0,888.0,6464.0,859.0,142.0,17527.0,1506.0,4655.0,2076.0,2070.0,5788.0,21327.0,130.0,,6783.0,493.0,1971.0,,1634.0,762.0,246.0,,3153.0,126002.0,215.0,,4074.0,25700.0,,167.0,2761.0,,103.0,591.0,78202.0,189910.0,2097.0,3359.0,798.0,486.0,1577.0,176.0,232.0,174.0,1245413.0,101.0,595.0,2197.0,521.0,1524.0,1135.0,6031.0,13639.0,1536.0,1860.0,1403.0,4388.0,12731.0,198.0,928.0,51370.0,131.0,360.0,555.0,,120.0,1000.0,28184.0,,11189.0,79268.0,2148.0,428.0,721.0,1601.0,1001.0,296.0,4205.0,7689.0,645.0,755.0,1960.0,3433.0,1815.0,219.0,264.0,,3500.0,54079.0,,269.0,139900.0,294.0,136.0,1374.0,,597.0,132.0,759.0,1750.0,15331.0,2317.0,81587.0,1602.0,17110.0,10637.0,93245.0,,4496.0,377.0,1408.0,190.0,9419.0,490.0,2219.0,614.0,464.0,206.0,,718.0,3452.0,101.0,4702.0,261.0,407.0,320.0,17781.0,1658.0,261.0,2017.0,146.0,1332.0,,561.0,534.0,1057.0,888.0,6464.0,859.0,142.0,17527.0,1506.0,4655.0,2076.0,2070.0,5788.0,21327.0,130.0,,6783.0,493.0,1971.0,,1634.0,762.0,246.0,,3153.0,126002.0,215.0,,4074.0,25700.0,,167.0,2761.0,,103.0,591.0,78202.0,189910.0,2097.0,3359.0,798.0,486.0,1577.0,176.0,232.0,174.0,1245413.0,101.0
2020-05-08,468.0,605.0,2323.0,526.0,1601.0,1185.0,6078.0,13698.0,1551.0,2000.0,1910.0,5067.0,12980.0,219.0,954.0,55350.0,131.0,384.0,562.0,,120.0,1002.0,29260.0,,11664.0,79324.0,2300.0,445.0,742.0,1641.0,1031.0,400.0,4371.0,7907.0,645.0,799.0,2064.0,3433.0,1887.0,252.0,273.0,,3500.0,55191.0,110.0,275.0,141700.0,303.0,141.0,1374.0,,629.0,154.0,801.0,1755.0,16776.0,2381.0,82744.0,1626.0,17110.0,10873.0,96276.0,,4918.0,381.0,1518.0,197.0,9484.0,562.0,2381.0,637.0,464.0,220.0,,739.0,3505.0,101.0,4776.0,271.0,413.0,320.0,17781.0,1747.0,265.0,2179.0,147.0,1347.0,,586.0,601.0,1079.0,980.0,6464.0,886.0,148.0,18388.0,1618.0,4862.0,2258.0,2286.0,6144.0,23803.0,133.0,106.0,7798.0,562.0,2160.0,,1712.0,806.0,247.0,106.0,3153.0,128511.0,232.0,,4971.0,25900.0,,167.0,2772.0,,103.0,600.0,82984.0,195036.0,2396.0,3572.0,829.0,492.0,1656.0,185.0,233.0,176.0,1284741.0,103.0,605.0,2323.0,526.0,1601.0,1185.0,6078.0,13698.0,1551.0,2000.0,1910.0,5067.0,12980.0,219.0,954.0,55350.0,131.0,384.0,562.0,,120.0,1002.0,29260.0,,11664.0,79324.0,2300.0,445.0,742.0,1641.0,1031.0,400.0,4371.0,7907.0,645.0,799.0,2064.0,3433.0,1887.0,252.0,273.0,,3500.0,55191.0,110.0,275.0,141700.0,303.0,141.0,1374.0,,629.0,154.0,801.0,1755.0,16776.0,2381.0,82744.0,1626.0,17110.0,10873.0,96276.0,,4918.0,381.0,1518.0,197.0,9484.0,562.0,2381.0,637.0,464.0,220.0,,739.0,3505.0,101.0,4776.0,271.0,413.0,320.0,17781.0,1747.0,265.0,2179.0,147.0,1347.0,,586.0,601.0,1079.0,980.0,6464.0,886.0,148.0,18388.0,1618.0,4862.0,2258.0,2286.0,6144.0,23803.0,133.0,106.0,7798.0,562.0,2160.0,,1712.0,806.0,247.0,106.0,3153.0,128511.0,232.0,,4971.0,25900.0,,167.0,2772.0,,103.0,600.0,82984.0,195036.0,2396.0,3572.0,829.0,492.0,1656.0,185.0,233.0,176.0,1284741.0,103.0
2020-05-09,472.0,620.0,2467.0,537.0,1659.0,1218.0,6122.0,13836.0,1576.0,2028.0,2101.0,5484.0,13201.0,237.0,960.0,59297.0,132.0,401.0,566.0,,120.0,1002.0,30239.0,,12160.0,79348.0,2424.0,461.0,754.0,1689.0,1078.0,400.0,4413.0,8125.0,645.0,824.0,2286.0,3433.0,1945.0,257.0,704.0,,4000.0,55892.0,110.0,288.0,141700.0,323.0,142.0,1374.0,101.0,663.0,192.0,865.0,1765.0,17887.0,2494.0,83837.0,1661.0,17110.0,11229.0,99023.0,,5146.0,385.0,1631.0,202.0,9568.0,562.0,2466.0,650.0,464.0,223.0,,765.0,3526.0,101.0,4864.0,285.0,419.0,320.0,20314.0,1826.0,267.0,2324.0,147.0,1368.0,,600.0,679.0,1099.0,1025.0,7530.0,886.0,152.0,19012.0,1734.0,5184.0,2422.0,2370.0,6423.0,26608.0,136.0,114.0,9120.0,611.0,2453.0,,2040.0,905.0,252.0,106.0,3153.0,131148.0,240.0,102.0,4971.0,26100.0,,183.0,2784.0,,103.0,638.0,86396.0,198993.0,2706.0,3837.0,855.0,506.0,1775.0,190.0,241.0,228.0,1322050.0,111.0,620.0,2467.0,537.0,1659.0,1218.0,6122.0,13836.0,1576.0,2028.0,2101.0,5484.0,13201.0,237.0,960.0,59297.0,132.0,401.0,566.0,,120.0,1002.0,30239.0,,12160.0,79348.0,2424.0,461.0,754.0,1689.0,1078.0,400.0,4413.0,8125.0,645.0,824.0,2286.0,3433.0,1945.0,257.0,704.0,,4000.0,55892.0,110.0,288.0,141700.0,323.0,142.0,1374.0,101.0,663.0,192.0,865.0,1765.0,17887.0,2494.0,83837.0,1661.0,17110.0,11229.0,99023.0,,5146.0,385.0,1631.0,202.0,9568.0,562.0,2466.0,650.0,464.0,223.0,,765.0,3526.0,101.0,4864.0,285.0,419.0,320.0,20314.0,1826.0,267.0,2324.0,147.0,1368.0,,600.0,679.0,1099.0,1025.0,7530.0,886.0,152.0,19012.0,1734.0,5184.0,2422.0,2370.0,6423.0,26608.0,136.0,114.0,9120.0,611.0,2453.0,,2040.0,905.0,252.0,106.0,3153.0,131148.0,240.0,102.0,4971.0,26100.0,,183.0,2784.0,,103.0,638.0,86396.0,198993.0,2706.0,3837.0,855.0,506.0,1775.0,190.0,241.0,228.0,1322050.0,111.0
2020-05-10,502.0,627.0,2546.0,545.0,1728.0,1267.0,6141.0,13928.0,1620.0,2055.0,2414.0,6050.0,13411.0,258.0,1059.0,61685.0,132.0,422.0,569.0,,120.0,1232.0,31262.0,,12667.0,79488.0,2569.0,480.0,769.0,1726.0,1140.0,401.0,4447.0,8291.0,645.0,834.0,2584.0,3433.0,2002.0,276.0,747.0,,4000.0,56148.0,110.0,297.0,143300.0,378.0,142.0,1374.0,104.0,698.0,195.0,904.0,1773.0,19301.0,2607.0,85064.0,1702.0,17110.0,11376.0,103031.0,,5906.0,387.0,1776.0,207.0,9610.0,622.0,2622.0,658.0,464.0,234.0,,828.0,3550.0,101.0,4929.0,298.0,427.0,320.0,21824.0,1925.0,274.0,2461.0,149.0,1371.0,,617.0,745.0,1112.0,1068.0,7809.0,4501.0,155.0,20246.0,1842.0,5437.0,2499.0,2449.0,6912.0,31916.0,140.0,126.0,10144.0,643.0,2732.0,,2296.0,919.0,255.0,110.0,3983.0,133952.0,260.0,119.0,4971.0,26400.0,,183.0,2787.0,,104.0,660.0,89480.0,212534.0,2909.0,4295.0,859.0,513.0,1846.0,190.0,241.0,228.0,1375624.0,112.0,627.0,2546.0,545.0,1728.0,1267.0,6141.0,13928.0,1620.0,2055.0,2414.0,6050.0,13411.0,258.0,1059.0,61685.0,132.0,422.0,569.0,,120.0,1232.0,31262.0,,12667.0,79488.0,2569.0,480.0,769.0,1726.0,1140.0,401.0,4447.0,8291.0,645.0,834.0,2584.0,3433.0,2002.0,276.0,747.0,,4000.0,56148.0,110.0,297.0,143300.0,378.0,142.0,1374.0,104.0,698.0,195.0,904.0,1773.0,19301.0,2607.0,85064.0,1702.0,17110.0,11376.0,103031.0,,5906.0,387.0,1776.0,207.0,9610.0,622.0,2622.0,658.0,464.0,234.0,,828.0,3550.0,101.0,4929.0,298.0,427.0,320.0,21824.0,1925.0,274.0,2461.0,149.0,1371.0,,617.0,745.0,1112.0,1068.0,7809.0,4501.0,155.0,20246.0,1842.0,5437.0,2499.0,2449.0,6912.0,31916.0,140.0,126.0,10144.0,643.0,2732.0,,2296.0,919.0,255.0,110.0,3983.0,133952.0,260.0,119.0,4971.0,26400.0,,183.0,2787.0,,104.0,660.0,89480.0,212534.0,2909.0,4295.0,859.0,513.0,1846.0,190.0,241.0,228.0,1375624.0,112.0
