county_resident,Population,Positive,DEATHS,HOSPITALIZATION,number,,
Towns,12034,22,1,7,12034.00 ,,
Treutlen,6829,3,0,0,6829.00 ,,
Troup,70414,150,4,43,70414.00 ,,
Turner,8076,68,8,10,8076.00 ,,
Twiggs,8086,8,0,3,8086.00 ,,
Union,25335,33,1,10,25335.00 ,,
Upson,26277,222,18,21,26277.00 ,,
Walker,69610,60,0,1,69610.00 ,,
Walton,95814,129,4,21,95814.00 ,,
Ware,35853,127,11,37,35853.00 ,,
Warren,5210,12,0,3,5210.00 ,,
Washington,20302,43,1,4,20302.00 ,,
Wayne,29974,13,0,2,29974.00 ,,
Webster,2550,10,2,5,2550.00 ,,
Wheeler,7909,5,0,0,7909.00 ,,
White,31758,63,0,18,31758.00 ,,
Whitfield,104672,111,4,15,104672.00 ,,
Wilcox,8790,90,9,15,8790.00 ,,
Wilkes,10014,25,0,5,10014.00 ,,
Wilkinson,8919,35,2,13,8919.00 ,,
Worth,20142,158,11,31,20142.00 ,,
