Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/3/22,,131,115,104,,1523,477,223,,,762,546,,,,,752,125,,,766,523,194,,809,137,,,140,,128,281,,,,1345,,,159,12321,250,,137,402,,,172,,369,564,26895,126,161,,,1647,282,,
2020/3/23,,157,165,152,,1822,594,327,120,,1005,623,,,,,1050,202,,102,837,646,248,,1037,169,149,,206,,155,311,,,,1934,,,185,16891,356,,161,514,,,193,,498,674,35258,169,226,,,1883,383,,
2020/3/24,,196,189,235,,2247,721,415,141,,1228,801,,,105,,1286,215,,122,1168,777,290,106,1328,234,210,,248,,249,423,,,101,2828,,,263,21725,443,,191,698,,106,297,,586,809,45053,242,259,,,2154,426,,
2020/3/25,,242,225,326,,2637,909,618,187,104,1471,1090,,,122,,1539,367,102,163,1387,1159,352,118,1791,261,268,,375,,340,524,,,108,3662,100,,306,26387,566,106,214,946,,124,340,,780,1030,55659,283,305,,,2469,487,,
2020/3/26,,434,301,403,,3179,1085,875,231,119,1977,1370,,,147,141,1868,478,137,194,1795,1838,426,142,2294,286,378,,483,,436,630,,,137,4522,113,,318,33036,705,164,265,1285,,132,424,,915,1359,69778,333,399,,123,2599,637,,
2020/3/27,,535,350,508,,4048,1460,1012,267,143,2483,1626,,105,180,187,2543,658,172,239,2303,2401,583,155,2855,344,520,,577,,600,772,,,158,6881,136,,433,39139,870,248,316,1813,,164,455,,1086,1657,86573,388,471,,156,3162,728,,
2020/3/28,,639,385,663,,4896,1759,1291,304,165,3198,2154,,121,234,233,3032,978,217,296,2745,3188,780,168,3655,396,708,,659,121,652,943,,,187,8814,190,,535,46122,1138,322,414,2382,,201,541,,1255,2026,105349,469,610,,184,3726,872,,
2020/3/29,,718,408,772,,5662,2025,1524,342,214,4038,2380,,149,298,265,3487,1231,267,389,3313,4204,1067,211,4651,441,851,,756,147,988,1061,,108,214,11230,207,,653,53518,1405,377,479,2908,100,235,660,,1470,2525,125519,588,741,,211,4277,1057,113,
2020/3/30,,825,455,919,,6349,2251,1993,401,232,4948,2619,,174,336,325,4591,1512,329,438,3540,4902,1239,253,5487,503,916,,756,161,1087,1203,,120,258,13774,237,127,670,59448,1651,429,549,3464,127,289,774,,1719,2841,143822,705,888,,235,4881,1167,123,
2020/3/31,,940,501,1155,,7388,2593,2395,495,264,5737,3025,,198,424,432,5059,1783,372,479,4024,5670,1412,275,6495,576,1107,,845,177,1087,1381,110,150,314,16698,281,148,911,67378,1933,480,605,4149,174,406,925,100,1941,3333,165434,787,1021,,239,5194,1286,145,
2020/4/1,110,997,563,1289,,8572,2965,3128,507,319,6741,4106,,216,496,525,5997,2158,438,631,5235,6538,1660,303,7614,629,1402,,1066,197,1259,1568,126,173,367,19184,316,148,1055,76041,2197,568,691,4990,239,488,1083,107,2390,3918,191152,866,1249,,293,5482,1415,162,120
