Country,AK,AL,AR,AZ,BOP,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,Military,NC,ND,NE,NH,NJ,NM,NN,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,US,UT,VA,VI,VT,WA,WI,WV,WY
2020/3/9,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,581,,,,,123,,,
2020/3/10,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,758,,,,,169,,,
2020/3/11,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,1048,,,,,273,,,
2020/3/12,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,1293,,,,,334,,,
2020/3/13,,,,,,240,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,327,,,,,,,,,,,1718,,,,,411,,,
2020/3/14,,,,,,301,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,423,,,,,,,,,,,2250,,,,,509,,,
2020/3/15,,,,,,379,102,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,617,,,,,,,,,,,2976,,,,,604,,,
2020/3/16,,,,,,466,133,,,,131,110,,,,,,,,,103,162,,,,,,,,,,,,,,109,,,,746,,,,,,,,,,,3677,,,,,667,,,
2020/3/17,,,,,,568,144,,,,167,122,,,,,105,,,,136,191,,,,,,,,,,,,,,174,,,,969,,,,,,,,,,,4648,,,,,840,,,
2020/3/18,,,,,,716,169,,,,236,145,,,,,160,,,,196,218,,,,,,,,,,,,,,244,,,,1407,,,,112,,,,,,134,6108,,,,,950,,,
2020/3/19,,,,,,867,218,,,,328,202,,,,,272,,,,277,256,,,119,,,,,,,,,,,425,,,,2554,,,,155,,,,,,228,8794,,,,,1036,114,,
2020/3/20,,,,,,1048,220,158,,,434,288,,,,,418,,,,392,328,107,,324,,,,,,,140,,,,758,,,,5697,120,,,206,,,,,154,321,14228,,103,,,1246,161,,
2020/3/21,,106,,,,1263,341,193,,,565,482,,,,,583,,,,537,407,148,,553,115,,,,,128,192,,,,916,,,156,8528,172,,113,307,,,126,,257,438,19771,102,126,,,1397,220,,
2020/3/22,,131,115,104,,1523,477,223,,,762,546,,,,,752,125,,,766,523,194,,809,137,,,140,,128,281,,,,1345,,,159,12321,250,,137,402,,,172,,369,564,26932,126,161,,,1647,282,,
2020/3/23,,157,165,152,,1822,594,327,120,,1005,623,,,,,1050,202,,102,837,646,248,,1037,169,149,,206,,155,311,,,,1934,,,185,16891,356,,161,514,,,193,,498,674,35303,169,226,,,1883,383,,
2020/3/24,,196,189,235,,2247,721,415,141,,1228,801,,,105,,1286,215,,122,1168,777,290,106,1328,234,210,,248,,249,423,,,101,2828,,,263,21725,443,,191,698,102,106,297,,586,809,45124,242,259,,,2154,426,,
2020/3/25,,242,225,326,,2637,909,618,187,104,1471,1090,,,122,,1539,367,102,163,1387,1159,352,118,1791,261,268,,375,,340,524,,,108,3662,100,,306,26387,566,106,214,946,149,124,340,,780,1030,55769,283,305,,,2469,487,,
2020/3/26,,434,301,403,,3179,1085,875,231,119,1977,1370,,,147,141,1868,478,137,194,1795,1838,426,142,2294,286,378,,483,,436,630,,,137,4522,113,,318,33036,705,164,265,1285,190,132,424,,915,1359,69917,333,399,,123,2599,637,,
2020/3/27,,535,350,508,,4048,1460,1012,267,143,2483,1626,,105,180,187,2543,658,172,239,2303,2401,583,155,2855,344,520,,577,,600,772,,,158,6881,136,,433,39139,870,248,316,1813,266,164,455,,1086,1657,86775,388,471,,156,3162,728,,
2020/3/28,,639,385,663,,4896,1759,1291,304,165,3198,2154,,121,234,233,3032,978,217,296,2745,3188,780,168,3655,396,708,,659,121,652,943,,,187,8814,190,,535,46122,1138,322,414,2382,344,201,541,,1255,2026,105614,469,610,,184,3726,872,,
2020/3/29,,718,408,772,,5662,2025,1524,342,214,4038,2380,,149,298,265,3487,1231,267,389,3313,4204,1067,211,4651,441,851,,756,147,988,1061,,108,214,11230,207,,653,53518,1405,377,479,2908,368,235,660,,1470,2525,125787,588,741,,211,4277,1057,113,
2020/3/30,,825,455,919,,6349,2251,1993,401,232,4948,2619,,174,336,325,4591,1512,329,438,3540,4902,1239,253,5487,503,916,,756,161,1087,1203,,120,258,13774,237,127,670,59448,1651,429,549,3464,380,289,774,,1719,2841,144075,705,888,,235,4881,1167,123,
2020/3/31,,940,501,1155,,7388,2593,2395,495,264,5737,3025,,198,424,432,5059,1783,372,479,4024,5670,1412,275,6495,576,1107,,845,177,1087,1381,110,150,314,16698,281,148,911,67378,1933,480,605,4149,467,406,925,100,1941,3333,165727,787,1021,,239,5194,1286,145,
2020/4/1,110,997,563,1289,,8572,2965,3128,507,319,6741,4106,,216,496,525,5997,2158,438,631,5235,6538,1660,303,7614,629,1402,,1066,197,1259,1568,126,173,367,19184,316,148,1055,76041,2197,568,691,4990,533,488,1083,107,2390,3918,191446,866,1249,,293,5482,1415,162,120
2020/4/2,117,1106,626,1413,,9965,3324,3557,586,368,7549,4743,,245,552,662,6981,2567,491,686,6421,7738,1986,344,9325,688,1674,,1066,214,1405,1770,147,211,415,22346,363,214,1167,84036,2546,721,735,6063,615,566,1293,129,2683,4590,217947,990,1484,,320,5984,1571,189,137
2020/4/3,143,1270,687,1596,,11126,3742,3824,757,393,9003,5440,,270,612,889,7698,3037,555,769,9104,8966,2331,376,10791,742,1863,,1357,243,1638,2039,159,255,479,25536,403,214,1352,92730,2902,881,826,7345,677,657,1553,165,2845,5239,247569,1066,1702,,338,6595,1742,217,153
2020/4/4,157,1532,736,1769,,12565,4181,4914,902,450,10262,5955,,315,700,1011,8905,3434,629,813,10170,10402,2758,432,12744,789,2154,,1357,262,1752,2333,173,285,540,29974,490,214,1567,103144,3297,989,898,8570,739,711,1699,187,3068,6050,280290,1248,2025,,389,6967,1998,237,166
2020/4/5,171,1631,740,2019,,13914,4565,5276,998,593,11539,6373,,350,785,1075,10360,3954,698,898,12484,11677,3172,455,14223,865,2344,,1638,281,1752,2546,186,322,621,34403,543,270,1733,114157,3739,1159,999,10506,756,806,1913,212,3321,6756,314558,1428,2412,,461,7591,2128,281,186
2020/4/6,185,1840,849,2269,,15201,4950,5675,1002,673,12350,6729,112,371,869,1100,11257,4424,756,937,13010,12500,3617,470,15717,933,2458,,1737,296,1752,2684,207,365,669,37860,624,354,1836,123143,4043,1254,1067,11640,760,922,2048,240,3627,7253,340405,1599,2636,,512,7984,2319,320,200
2020/4/7,191,2003,926,2456,,16363,5178,6906,1097,783,13629,7549,113,387,945,1169,12263,4954,849,1028,14866,13837,4045,499,17219,984,2869,,1737,318,2528,3033,225,415,715,41539,686,384,1970,131812,4444,1328,1132,13206,823,1083,2230,288,3786,8159,371699,1680,2876,,543,8384,2509,345,212
2020/4/8,213,2197,996,2575,,17625,5429,7781,1440,928,14747,9131,121,410,1048,1210,13542,5540,924,1148,16284,15200,4370,519,18970,1066,3211,,1915,318,2657,3325,237,477,747,44767,794,426,2131,140368,4781,1470,1181,14955,881,1229,2413,320,4084,9213,406393,1738,3328,,575,8986,2578,412,221
2020/4/9,226,2497,1076,2726,,19031,5655,8781,1440,1116,15698,10203,125,435,1145,1232,15079,5943,1046,1340,17030,16790,5528,537,20345,1152,3433,,2003,332,3160,3578,251,532,788,47725,865,482,2318,151057,5146,1529,1237,16746,938,1450,2552,393,4362,10074,439499,1847,3646,,605,9275,2811,481,230
2020/4/10,235,2838,1144,3018,,20169,6202,9784,1523,1209,16826,10882,128,442,1270,1354,16424,6351,1106,1451,18280,18941,6184,560,21504,1242,3630,,2260,354,3191,3836,269,576,819,51448,989,558,2492,161785,5511,1684,1320,18632,991,1727,2791,447,4617,11482,474244,1977,4043,,628,9750,2889,521,239
