Country,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
20200314,22,0,3,2,0,1,1,0,456,1,2,53,2,2,4,52,1,14,6,3,2,0,1,351,1,34,2,258,18,1,174,9,1,102,24,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
20200315,0,1,636,1,0,0,0,0,3,60,2,0,0,9,2,100,5,1,0,0,3,98,0,2,0,74,1,0,50,33,0,27,2,3,0,1,5,0,0,537,1,0,2,53,0,0,9,2,5,0,72,1,0,2,1,1
20200316,3,2,0,3,8,1,2,1,789,1,0,0,0,0,0,5,69,8,0,0,0,188,6,1,0,0,6,1,0,1,0,3,0,128,1,0,0,0,2,0,1,2,4,0,1,76,0,1,7,4,140,2,0,1,8,1
20200317,1,142,3,1,14,10,3,7,0,3,12,1,3,1,962,1,0,0,0,0,0,5,88,8,1,1,0,17,7,1,0,0,6,251,1,1,0,3,0,168,1,1,0,0,2,0,1,4,6,0,1,105,0,1,14,6
20200318,7,0,3,4,15,0,1,173,3,2,15,12,3,7,0,7,13,2,8,1,1178,2,0,0,0,0,0,5,114,9,1,1,0,18,12,2,3,0,7,372,1,4,1,5,0,254,2,1,0,0,2,0,3,4,11,0
20200319,0,497,5,1,0,0,7,0,5,4,24,3,5,216,4,2,19,16,5,9,5,7,21,2,9,2,1390,3,0,0,0,0,0,6,133,12,2,5,0,19,17,2,8,0,19,528,1,6,1,6,0,358,3,1,0,0
20200320,12,997,8,14,8,12,1,702,9,1,1,1,12,1,10,6,30,5,7,216,5,3,19,22,5,10,8,18,23,4,17,2,1646,8,0,1,0,0,0,9,157,28,3,5,1,28,22,2,13,0,19,727,1,8,6,9
20200321,42,2,16,0,32,12,6,1361,36,23,17,3,945,14,2,4,1,15,1,13,6,50,10,11,421,13,3,30,41,14,12,9,26,39,6,30,5,1943,19,0,1,0,0,6,9,202,45,6,10,4,32,31,2,14,0,25
20200322,101,11,10,6,77,66,2,17,2,46,15,6,1728,51,38,26,3,1196,21,4,6,5,23,1,14,7,50,10,20,524,13,4,30,47,20,13,9,32,51,6,30,8,2208,19,0,2,1,1,9,9,202,72,6,10,4,50
20200323,1,12,16,12,293,131,20,16,6,116,99,2,18,5,64,19,8,2188,90,64,31,3,1480,35,5,10,7,32,1,17,13,98,13,21,729,36,9,36,63,20,19,9,39,56,28,45,12,2462,33,0,3,1,6,12,12,252
20200324,1,28,22,,18,335,131,26,17,8,141,121,3,7,22,5,93,24,11,21,115,97,2895,17,1933,54,6,0,12,7,33,1,18,13,178,17,45,950,50,10,39,76,5,21,28,10,52,57,39,51,1,17,2830,47,0,3
20200325,3,36,22,,20,483,160,41,22,16,186,146,5,10,23,7,159,30,15,22,137,118,57,32,3659,60,8,0,21,8,40,3,21,17,267,23,55,1700,67,17,47,96,5,23,33,11,73,64,51,67,2,19,3154,72,0,10
20200326,6,46,33,,28,611,183,68,31,25,314,197,8,14,29,9,288,39,16,26,240,156,85,43,4531,77,13,0,34,10,63,6,24,26,427,28,55,2382,88,29,75,133,5,33,60,11,98,83,63,77,2,21,3532,106,1,15
20200327,6,68,46,,44,924,216,96,39,30,390,287,12,16,38,11,422,56,34,35,347,229,107,53,5276,89,24,0,50,12,97,15,27,39,742,35,95,4152,119,44,88,185,5,44,60,11,154,143,78,94,3,28,3867,155,2,18
20200328,12,81,96,,65,1063,277,194,71,38,520,420,14,26,45,23,585,79,44,47,473,314,149,57,6219,115,47,0,80,16,137,20,32,44,890,43,109,7102,169,49,114,268,14,54,81,14,228,194,112,114,3,44,4270,206,7,19
20200329,14,124,118,,104,1279,363,194,77,45,658,507,15,37,68,31,753,126,55,54,580,426,190,73,7023,138,73,0,140,20,184,28,38,55,1327,57,124,10356,247,53,114,371,21,66,152,14,371,304,136,152,6,52,4555,281,11,23
20200330,22,138,165,,152,1536,475,223,98,56,830,600,27,48,90,42,1049,201,64,99,837,547,244,89,7822,169,90,0,207,31,255,28,48,65,1914,57,190,15168,351,67,161,479,23,83,195,21,505,334,181,219,6,76,4838,385,12,24
20200331,22,167,174,,265,1733,591,415,116,68,1171,772,29,56,105,47,1273,259,82,104,1172,678,288,107,9062,235,183,0,249,34,297,30,50,78,2844,65,245,20875,442,81,191,644,31,106,298,28,615,352,257,254,17,97,5286,416,16,26
20200401,36,215,218,,357,2102,720,618,137,91,1412,1026,32,77,124,50,1535,365,98,124,1388,1060,349,125,10155,262,183,0,320,46,398,34,52,101,3675,83,278,25665,564,106,209,851,39,124,298,30,667,410,299,290,17,125,5640,457,20,29
20200402,42,283,280,,450,2355,912,875,183,115,1682,1247,37,90,145,73,1865,477,126,157,1795,1739,423,149,11335,287,356,0,377,53,504,39,61,108,4402,100,321,30811,704,164,209,1127,51,132,424,41,784,974,346,391,17,160,6045,585,39,44
20200403,59,506,335,,577,3006,1086,1012,231,130,2355,1525,45,95,179,123,2538,645,168,198,2305,2318,580,155,12475,346,502,0,485,71,636,52,73,137,6876,112,420,37258,867,248,327,1687,64,165,456,46,957,1396,402,460,17,185,6414,707,51,53
20200404,69,587,381,,736,3879,1430,1291,267,163,2765,2001,51,106,235,189,3026,981,202,248,2746,3151,774,168,13799,398,669,0,579,108,763,65,85,158,8825,136,535,44635,1137,322,414,2218,79,203,456,58,1203,1731,480,604,19,213,6791,842,76,70
20200405,85,696,404,,873,4643,1734,1291,304,214,3763,2366,55,120,298,230,3491,1232,261,302,3315,4158,992,211,14865,441,838,2,663,129,935,83,96,187,11124,191,621,52318,1406,377,479,2751,100,239,539,68,1373,2052,602,739,22,234,7112,989,96,82
20200406,102,806,426,,919,5708,2061,1993,342,232,4246,2651,56,151,336,261,4596,1514,319,394,3540,4856,1239,253,15784,503,838,2,758,154,1040,98,108,214,13386,237,738,59513,1653,429,548,3394,127,294,774,90,1537,2552,719,890,23,256,7429,1112,113,86
20200407,114,859,473,,1157,6447,2627,2571,401,264,5473,2809,58,175,424,310,5057,1786,368,439,4025,5653,1413,275,17363,576,1031,2,847,171,1307,109,145,314,16636,237,1008,66497,1933,481,606,4087,174,402,925,101,1834,2877,806,1020,30,293,7831,1221,126,94
20200408,119,981,523,0,1289,7482,2627,3128,495,319,6338,3929,69,204,497,415,5994,2159,428,480,5237,6521,1660,303,18654,629,1327,2,937,184,1498,126,172,314,18696,281,1113,75795,2199,565,690,4843,239,489,1083,108,2239,3266,887,1250,30,320,8138,1351,162,109
20200409,133,1077,584,0,1413,8155,2966,3557,586,368,6955,4638,77,208,549,525,6980,2565,482,591,6424,7639,1985,344,20246,689,1581,6,1073,208,1584,142,210,415,22255,315,1279,83712,2547,719,736,5805,286,566,1293,129,2683,3997,1012,1484,30,359,8574,1550,191,130
20200410,143,1233,643,0,1598,9191,3342,3824,653,393,8010,5348,82,258,614,669,7695,3039,552,680,9150,8867,2331,376,21376,742,1834,8,1177,227,1857,159,246,415,25590,363,1458,92381,2902,879,826,7016,316,657,1554,165,2845,4669,1074,1706,33,390,8904,1730,217,150
20200411,157,1432,704,0,1769,10701,3728,4914,757,450,9585,5831,84,285,699,891,8904,3437,620,770,10297,10303,2758,432,22579,789,2113,8,1358,243,2093,173,279,479,29895,403,1514,102863,3312,988,899,8420,378,709,1554,187,3067,5330,1246,2012,38,460,9185,1912,237,162
20200412,171,1580,743,0,2019,12026,4173,5276,902,593,11111,6160,93,319,786,1013,10357,3953,698,831,12496,11637,3125,456,23581,865,2291,8,1455,265,2402,186,321,540,34124,495,1742,113704,3739,1159,999,10017,452,806,1917,212,3321,6110,1428,2407,40,512,9429,2112,282,187
20200413,185,1796,830,0,2269,13438,4565,5675,998,673,12151,6647,112,351,868,1077,11256,4411,747,917,13010,12402,3609,470,24458,935,2367,8,1638,286,2585,207,363,621,37505,543,1836,122031,4043,1252,1068,11510,475,922,2049,240,3633,6812,1605,2637,42,543,9649,2267,324,197
20200414,191,1968,875,0,2456,14336,4950,6906,1097,673,13324,7314,113,371,946,1101,12262,4944,845,955,14867,13739,4045,499,25785,986,2722,8,1738,299,2870,225,409,669,41090,624,1953,130689,4450,1327,1132,12980,513,1082,2049,288,3802,7276,1675,2878,43,575,9973,2440,345,210
20200415,213,2119,946,0,2575,15865,5172,7781,1211,928,14747,8818,121,387,1048,1170,13549,5507,900,1008,16284,15104,4371,519,26964,1069,3037,8,1915,319,3221,237,447,715,44416,686,2087,138863,4782,1472,1181,14559,573,1230,2417,320,4138,8262,1738,3333,43,608,10236,2578,412,216
20200416,226,2369,1000,0,2726,16957,5429,7781,1440,928,15455,9901,125,410,1145,1210,15078,5943,1046,1149,17030,16692,5529,537,28064,1154,3327,11,2003,332,3426,251,519,788,47437,794,2318,149316,5148,1524,1239,16239,620,1450,2552,393,4362,9353,1846,3645,45,631,10518,2756,462,221
20200417,235,2769,1119,0,3018,18309,5655,9784,1523,1207,16364,10566,128,435,1270,1232,16422,6351,1106,1346,18283,18843,6185,560,29096,1242,3539,11,2260,354,3651,269,567,788,51027,865,2456,159937,5512,1684,1321,18228,683,1727,2792,447,4634,10230,1976,4042,46,680,10805,2885,523,230
20200418,246,2968,1171,0,3112,19472,6510,10538,1660,1326,17531,11483,130,442,1388,1353,17887,6907,1166,1693,19253,20878,6968,586,30172,1336,3799,11,2469,365,3908,278,635,819,54588,1091,2584,170512,5878,1794,1321,19979,725,2015,3065,536,4862,11671,2102,4509,50,713,11080,3068,554,253
20200419,257,3191,1226,0,3393,20615,6510,11510,1778,1479,18494,12159,133,465,1510,1396,19180,7435,1268,1693,20014,22766,7694,616,30980,1427,4024,11,2642,377,4312,293,700,885,58151,1091,2700,180458,6250,1868,1371,21655,788,2349,3207,626,5114,12561,2206,5077,51,733,11290,3213,577,261
20200420,272,3525,1280,0,3539,21794,6893,12035,1875,1479,19355,12452,133,486,1587,1407,20852,7928,1337,1840,20595,25381,8225,633,31666,1621,4160,11,2781,387,4520,308,791,929,61850,1174,2836,188694,6604,1970,1527,22833,897,2665,3319,730,5308,13484,2303,5274,51,754,11457,3341,611,261
20200421,277,3734,1410,0,3702,22348,7684,13381,1955,1625,20601,13315,133,499,1710,1426,22025,8236,1376,1963,21016,26794,8936,698,32702,1650,4388,11,2942,394,4816,331,814,985,64584,1245,2971,195031,6975,2069,1584,24199,903,2976,3319,868,5610,13906,2363,5747,51,761,11757,3428,626,275
20200422,285,3876,1480,0,3806,23338,7691,13989,2058,1761,21367,14223,133,504,1899,1453,23247,8527,1426,2048,21518,28109,9472,734,33613,1695,4686,13,3087,399,5024,341,871,1020,68824,1345,3088,202208,7280,2184,1633,25345,923,3251,3553,988,5823,14624,2412,6171,51,770,11981,3555,640,275
20200423,293,4113,1569,0,3962,24424,7941,14755,2197,2014,22511,14987,133,517,1995,1464,24593,8955,1494,2210,21951,29970,10032,770,34533,1809,4895,13,3360,404,5123,365,901,1139,71030,1407,3211,213779,7791,2263,1663,26490,974,3529,3656,1168,6079,15492,2542,6500,51,779,12293,3721,702,287
20200424,300,4345,1620,0,4234,26182,8280,15884,2350,2075,22897,15669,133,530,2141,1587,25733,9542,1588,2291,22532,32492,10784,796,35455,1912,5111,13,3624,415,5465,393,952,1139,75317,1484,3321,222284,8414,2357,1736,27735,1043,3838,3656,1311,6262,16455,2683,6889,51,792,12548,3875,739,296
20200425,309,4530,1695,0,4507,27528,8675,16809,2476,2323,24119,17194,133,541,2332,1609,27575,10154,1705,2429,23118,35125,11572,827,36320,2071,5283,13,3793,422,5859,439,1066,1287,78467,1597,3524,229642,9107,2465,1785,29441,1068,4177,3931,1411,6589,17371,2805,7491,51,802,12849,4045,754,296
20200426,314,4655,1739,0,4719,28963,9047,16809,2666,2323,25269,17669,133,553,2513,1655,29160,10641,1790,2522,23580,37527,12308,847,37029,2213,5517,14,3974,426,6140,528,1138,1287,81420,1711,3626,236732,10222,2570,1844,31069,1118,4479,4246,1542,6762,18260,2931,8053,53,813,13082,4199,785,305
20200427,319,4837,1781,0,4929,30333,9433,17550,2793,2538,25996,18301,133,574,2902,1668,30357,11210,1849,2707,23928,39820,12830,867,37557,2356,5667,14,4274,433,6493,585,1287,1342,85301,1798,3728,242786,11602,2599,1910,32284,1213,4755,4377,1635,7070,18923,3069,8537,53,817,13256,4346,863,309
20200428,321,5025,1923,0,5064,30978,9730,19815,2927,2745,26660,18947,133,580,3159,1672,31508,11686,1986,2960,24523,41416,13684,875,38494,2470,5807,14,4512,433,6764,627,1474,1392,88806,1845,3830,247512,12919,2680,1956,33232,1252,5098,4377,1685,7238,19458,3213,8990,53,820,13561,4499,902,313
20200429,329,5231,2227,0,5251,33261,10106,20360,3098,2931,27495,19881,133,584,3641,1736,33059,12097,2025,3050,24854,43168,14193,888,39589,2567,5941,14,4716,437,6951,644,1648,1491,92387,1971,3937,251690,13725,2807,2002,34528,1298,5467,4439,1755,7394,20196,3296,9630,54,828,13802,4620,914,320
20200430,335,5465,2276,0,5459,35396,10447,22469,3206,3200,28309,20740,134,582,3748,1766,35108,12438,2211,3192,25258,44913,14775,907,40705,2721,6137,14,4894,439,7220,679,1722,1491,95865,2072,4081,257216,14117,2894,2059,35684,915,5845,4761,1858,7842,21069,3445,10266,54,831,14040,4845,939,322
20200501,337,5778,2465,0,5769,37369,10878,23100,3361,3308,28832,21512,135,592,3924,1802,36934,13039,2482,3373,25739,47992,15737,937,41694,2942,6321,14,5153,442,7608,709,1813,1588,99989,2210,4208,263460,14694,3017,2127,37053,915,6262,4917,1956,8266,21944,3612,10998,54,834,14294,5052,967,326
20200502,339,5832,2741,0,6045,39254,11262,23921,3528,3442,30174,22147,141,596,4445,1836,39658,13680,2777,3481,26140,50969,16616,965,42730,3185,6625,14,5434,444,8052,748,2124,1670,102196,2379,4398,271590,15169,3121,2177,38652,1276,6699,4917,2040,8726,22806,3782,11594,54,843,14581,5356,988,349
20200503,339,6137,2829,0,6280,41137,12256,24582,3699,3576,30839,22695,141,601,5092,1870,41777,14395,3056,3779,26512,53348,17766,990,43263,3446,6826,14,5718,445,8623,803,2421,1720,105523,2521,4539,282143,15587,3193,2253,40049,1307,7129,5253,2147,9189,23773,3948,12366,55,852,14773,5687,1020,349
20200504,341,6270,2941,0,6526,42164,12968,25269,3841,4034,31528,23401,141,603,5476,1887,43903,15012,3174,3905,26773,54938,18581,1015,43789,3602,6997,14,5911,448,8830,867,2732,1787,109038,2660,4602,288045,15963,3253,2311,41165,1371,7439,5490,2212,9667,24631,4123,12970,57,855,14952,5911,1044,362
20200505,345,6499,3017,0,6716,43464,13441,25269,3892,4162,32138,23913,144,606,5868,1897,45883,15961,3328,4074,27068,56462,19487,1023,44709,3816,7171,14,6094,449,9142,942,3028,1864,111188,2726,4690,291996,15699,3280,2354,42050,1389,7708,5490,2245,9918,25297,4233,13535,59,862,15225,6081,1063,370
20200506,351,6687,3111,0,6948,45031,13879,26312,3994,4575,32846,24615,145,607,6376,1917,48102,16588,3491,4146,27286,58302,20113,1040,45538,4181,7303,14,6342,451,9568,991,3358,1938,113856,2823,4805,295106,16128,3410,2354,43264,1400,7926,5613,2313,10052,26171,4343,14339,59,862,15459,6289,1079,389
20200507,355,6842,3192,0,7202,46500,14735,26767,4106,4655,33193,25572,145,609,6843,1952,50355,17182,3738,4375,27660,60265,20849,1056,46488,4644,7425,14,6569,451,9948,1033,3374,2010,116264,2974,4898,299691,17303,3473,2446,44366,1433,8247,5881,2373,10366,27054,4495,14961,62,866,15701,6520,1095,536
20200508,355,7019,3255,0,7648,48917,14758,27700,4323,4734,33690,26155,146,613,7145,1984,52918,17835,4238,4539,28001,62205,21742,1095,47505,5136,7562,14,6815,453,10509,1067,3784,2054,118652,3213,4998,304372,18027,3618,2510,45763,1539,8621,6095,2449,10735,28087,4672,15846,66,879,15962,6854,1118,544
