Country,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
20200315,,,,,,,,,20,,,,,,,,,,,,,,,16,,,,14,,,11,,,8,5,4,2,2,,,,,,,,,,,,,,,,,,
20200316,,,27,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,
20200317,,,,,,,,,31,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200318,,,,,,,,,,,,,,,35,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200319,,,,,,,,,,,,,,,,,,,,,37,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200320,,,,,,,,,,,1,,,,,,,,,,,,,,,,40,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
20200321,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,44,,,,0,,,,,,,,,2,,,,,,,,,,
20200322,1,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,47,,,,0,,,,4,,,,,2,,,,,
20200323,1,,,,3,1,,,,,0,1,1,,,,,,,0,,,,0,,,1,,,,,,,,,,,,,,,,51,,,,0,,,0,4,,,,,2
20200324,0,0,,0,5,1,,,,4,1,,,,,0,1,1,2,,,,,,0,,,,0,,,2,,,3,,,,,,,,,,0,1,,57,,0,,0,,,0,5
20200325,0,0,,,0,6,1,,,,4,1,,,,,,1,1,1,2,,2,,,,0,,,,0,0,,,2,,1,7,,,,,,,1,,,,0,1,,,69,,0,
20200326,0,0,,,0,11,1,,,,6,1,,,,,1,2,1,1,4,,,,2,,0,,,,0,0,,,3,,1,7,,,,,,,1,,,1,0,1,,,78,,0,
20200327,0,0,,0,0,13,2,,,,7,1,,,,,1,2,1,1,6,2,2,,5,,0,0,,,0,0,,,5,,1,12,,,3,1,,,1,1,,2,0,1,,,82,,0,
20200328,0,0,,0,0,18,2,1,0,0,8,10,,,,,4,2,1,1,8,3,2,,10,,1,0,,,0,0,0,,9,,1,12,,1,3,1,,,1,1,,3,0,2,,,92,,0,
20200329,0,0,,0,0,20,3,3,1,0,10,13,,,,,5,2,1,1,12,5,3,,13,,1,0,1,,0,0,0,,11,,1,35,1,1,3,1,,,1,1,,5,0,2,,2,104,3,0,
20200330,0,0,,0,1,24,4,4,1,0,12,14,,,,,6,4,2,2,16,7,3,,23,1,3,0,1,,0,0,0,,16,,2,44,3,1,3,2,,,1,1,,5,0,2,,2,111,4,0,
20200331,0,0,0,0,2,27,5,5,1,0,13,23,1,,,0,9,6,2,3,20,11,4,,36,1,3,0,1,,0,0,0,,20,,2,114,3,2,4,2,1,,3,1,,5,1,3,,2,126,4,0,
20200401,0,0,0,0,2,27,6,10,2,0,14,25,1,,,0,12,7,2,3,34,17,4,,57,1,3,0,1,,0,0,0,,27,,4,114,6,2,5,6,2,,5,1,2,8,1,6,,5,137,5,0,
20200402,0,0,0,0,5,40,7,12,2,0,18,32,1,,,0,16,12,2,4,46,26,5,,86,1,3,0,1,,0,0,0,1,44,,4,210,8,3,8,7,2,,5,1,2,9,1,7,,7,146,5,0,
20200403,1,0,2,0,6,53,11,19,2,0,22,40,1,,1,0,19,14,3,4,65,33,5,,111,1,8,0,2,,1,0,0,1,62,1,6,285,10,5,8,11,2,,7,1,3,12,1,9,,8,159,7,0,
20200404,1,1,3,0,8,65,19,21,3,1,28,48,1,,1,0,26,17,3,4,83,42,7,,159,2,8,0,6,,2,0,0,1,81,1,10,385,15,7,11,16,2,,9,1,3,18,1,13,,9,183,8,0,
20200405,1,3,3,0,13,78,24,27,3,2,34,64,1,,3,3,34,24,4,6,119,57,10,1,212,4,8,0,8,,3,0,0,1,108,1,10,519,19,8,12,22,3,,9,1,6,23,2,14,,10,199,13,0,0
20200406,2,3,5,0,15,101,31,27,4,3,54,69,1,,3,4,47,31,5,8,137,72,17,1,283,5,10,,13,1,4,1,2,2,140,1,10,728,25,15,13,34,3,,13,1,6,27,2,17,,12,220,13,0,0
20200407,2,4,6,0,17,123,44,34,5,6,56,80,1,,4,5,65,32,6,9,151,99,24,3,351,9,10,,14,1,4,1,2,2,161,2,14,965,29,16,13,38,5,3,16,1,7,34,2,22,,12,237,13,0,0
