,state_name:,county:,5/16,5/17
1425,NE,Scotts Bluff,51,51
1426,NE,Washington,24,24
1427,NE,York,29,29
1428,NH,Belknap,51,51
1429,NH,Carroll,41,41
1430,NH,Cheshire,47,47
1431,NH,Grafton,61,61
1432,NH,Hillsborough-Other,581,581
1433,NH,Hillsborough-Manchester,819,819
1434,NH,Merrimack,278,278
1435,NH,Hillsborough-Nashua,323,323
1436,NH,Rockingham,1095,1095
1437,NH,Strafford,230,230
1438,NH,Sullivan,16,16
1439,NH,Unassigned,10,10
1440,NJ,Atlantic,1716,"""U2FsdGVkX19cl465sbhINkbu+3F7g+eUfAG2koC3Ob8="""
1441,NJ,Bergen,17246,"""U2FsdGVkX188ntBE8K50XC3BDHm4XIuWvGhjaA+aC9o="""
1442,NJ,Burlington,3875,"""U2FsdGVkX1/OfRY2oAV+z0UmJvveuovRLHohG8nKR2w="""
1443,NJ,Camden,5381,"""U2FsdGVkX1+YIroMAqJbbwJSqIFJaxElilxiFqhgLxg="""
1444,NJ,Cape May,500,"""U2FsdGVkX192P8iDLilWdiDIqQ2rxRFvwSOh1aoDFtc="""
1445,NJ,Cumberland,1592,"""U2FsdGVkX1+QtxCHUxf8Sqoed6NyK+f9fbNOtGOI5QM="""
1446,NJ,Essex,16151,"""U2FsdGVkX19lX0hq6Zvt5aaY1q3TmiVCAk8G1AOpBBo="""
1447,NJ,Gloucester,1811,"""U2FsdGVkX18yLa96IIUXZd+lQ5UZH1sz7+Mc7IoTi3A="""
1448,NJ,Hudson,18048,"""U2FsdGVkX1/A59vwwaSjWbusD9zYegWJBj40/o5ePqA="""
1449,NJ,Hunterdon,795,"""U2FsdGVkX1+WZDCXw/NBuvsGUUHJhL4f67LxrF2j64E="""
1450,NJ,Mercer,5719,"""U2FsdGVkX1/Fcx/Z3jyurV0LyxcBFjfRAYmDnhBRSCI="""
1451,NJ,Middlesex,14514,"""U2FsdGVkX19A6lGeksX81hn3YIjhlDvZLGeI06uQIRs="""
1452,NJ,Monmouth,7297,"""U2FsdGVkX1+lbLci6HiPHPg2OqKYgb4v2LYDF+wNTLQ="""
1453,NJ,Morris,6012,"""U2FsdGVkX1/Zg2ZiyPzYweDw+L8gCZJG043Fd4EU684="""
1454,NJ,Ocean,7878,"""U2FsdGVkX18/aEPWNkO6Rx4aqeHDmO7kWm//KyjJI0U="""
1455,NJ,Passaic,15031,"""U2FsdGVkX18e3lamD06zKJM1I6jrqarBswjTZLIP+rU="""
1456,NJ,Salem,457,"""U2FsdGVkX1+29JwWuwPMEtiknxyeV5aT+BM5wIrm5to="""
1457,NJ,Somerset,4212,"""U2FsdGVkX19EvSU5wl2eeHlYZYdPzxlpI5X/mB6sj/A="""
1458,NJ,Sussex,1053,"""U2FsdGVkX18Btuar4Fcdz2xj04m+aYawgFUD791dT/c="""
1459,NJ,Unassigned,155,"""U2FsdGVkX19KN9U9rbX6JhwTsad+oDXC47lp4oAvvZ0="""
1460,NJ,Union,14569,"""U2FsdGVkX18/+XBtCNm7eE9FUm7MBfaXz2p3jv6DvtI="""
1461,NJ,Warren,1077,"""U2FsdGVkX18A231Gyr9deqidNJrF1t9zplmBSZJ1NCw="""
