Country,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
20200429,351,6687,3111,0,6948,45031,13879,26312,3994,4575,32846,24615,145,607,6376,1917,48102,16588,3491,4146,27286,58302,20113,1040,39262,4181,7303,14,6342,451,9568,991,3358,1938,113856,2823,4805,295106,16128,3410,2354,43264,1400,7926,5613,2313,10052,26171,4343,14339,59,862,15459,6289,1079,389
20200430,355,6842,3192,0,7202,46500,14735,26767,4106,4655,33193,25572,145,609,6843,1952,50355,17182,3738,4375,27660,60265,20849,1056,40399,4644,7425,14,6569,451,9948,1033,3374,2010,116264,2974,4898,299691,17303,3473,2446,44366,1433,8247,5881,2373,10366,27054,4495,14961,62,866,15701,6520,1095,536
20200501,355,7019,3255,0,7648,48917,14758,27700,4323,4734,33690,26155,146,613,7145,1984,52918,17835,4238,4539,28001,62205,21742,1095,41379,5136,7562,14,6815,453,10509,1067,3784,2054,118652,3213,4998,304372,18027,3618,2510,45763,1539,8621,6095,2449,10735,28087,4672,15846,66,879,15962,6854,1118,544
20200502,364,7158,3321,0,7962,50442,15284,28764,4658,4918,34728,27270,146,618,7884,2015,56055,18630,4449,4708,28711,64311,23472,1123,42356,5730,7835,14,7212,453,10923,1107,4281,2146,121190,3411,5227,308314,18743,3748,2579,46971,1575,8962,6258,2525,11891,29229,4828,16901,66,885,16307,7314,1136,559
20200503,365,7434,3372,0,8364,52197,15768,28764,4797,5038,35463,28306,148,619,8641,2035,58505,19295,4746,4879,29140,66263,24473,1152,43207,6228,8154,14,7441,455,11509,1153,4838,2310,123717,3513,5311,312977,19335,3851,2635,48305,1757,9289,6489,2588,12661,30522,4981,17731,66,896,16455,7660,1169,566
20200504,368,7725,3431,0,8640,53616,16225,29287,5016,5208,36078,28602,150,620,9169,2061,61499,19933,5030,4879,29340,68087,25462,1185,43754,6663,8386,14,7550,455,11664,1191,5326,2429,126744,3732,5426,316415,19914,3972,2680,49267,1808,9477,6626,2631,13177,31548,5175,18671,66,901,16594,7964,1191,579
20200505,370,8025,3458,0,8919,54937,16635,29287,5170,5288,36897,29368,149,620,9703,2061,63840,20507,5245,5130,29673,69087,26408,1205,43950,7234,8754,14,7877,457,11848,1225,5910,2588,128269,3850,5491,318953,20474,4044,2759,50092,1843,9652,6626,2668,13571,32332,5317,19492,66,906,16853,8236,1206,586
20200506,371,8285,3496,0,9305,56212,16907,30621,5322,5371,37439,29711,149,621,10111,2106,65962,21033,5458,5245,29996,70271,27117,1226,44397,7851,8916,14,8207,456,12256,1266,6083,2588,130593,4031,5594,321192,20969,4127,2839,50957,1924,9933,6757,2721,13690,33369,5449,20256,66,909,17113,8566,1238,596
20200507,372,8581,3568,0,9707,58815,17364,30995,5461,5778,38002,30696,151,625,10404,2127,68232,21870,5734,5822,30399,72025,28163,1254,45054,8579,9102,15,8424,456,12758,1323,6438,2636,131890,4138,5663,323978,21576,4201,2916,51845,1968,10205,6936,2779,13938,34422,5595,20256,66,914,17356,8901,1248,604
20200508,374,8898,3611,0,9945,60614,17830,31784,5654,5939,38828,31439,151,626,11059,2158,70873,22503,6144,5934,30652,73721,29374,1330,45646,9365,9341,15,8686,456,13397,1371,6771,2740,133635,4291,5766,327649,22131,4330,2989,52915,2031,10530,6936,2905,14096,35390,5724,21570,66,916,17553,9215,1287,631
